MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,ScreenPorch,SaleCondition,YrSold,0,1
20,RH,80.0,Reg,Lvl,Inside,NAmes,5.0,6.0,1961.0,Gable,VinylSd,TA,CBlock,TA,No,Rec,TA,Y,896.0,0.0,896.0,0.0,0.0,TA,5.0,Typ,0.0,,Unf,1.0,730.0,Y,140.0,120.0,Normal,2010.0,11.638875534527806,113422.55344864173
20,RL,81.0,IR1,Lvl,Corner,NAmes,6.0,6.0,1958.0,Hip,Wd Sdng,TA,CBlock,TA,No,ALQ,TA,Y,1329.0,0.0,1329.0,0.0,1.0,Gd,6.0,Typ,0.0,,Unf,1.0,312.0,Y,393.0,0.0,Normal,2010.0,11.95044612321366,154886.22950779693
60,RL,74.0,IR1,Lvl,Inside,Gilbert,5.0,5.0,1998.0,Gable,VinylSd,TA,PConc,Gd,No,GLQ,Gd,Y,928.0,701.0,1629.0,0.0,1.0,TA,6.0,Typ,1.0,TA,Fin,2.0,482.0,Y,212.0,0.0,Normal,2010.0,12.078957734203495,176126.49442740786
60,RL,78.0,IR1,Lvl,Inside,Gilbert,6.0,6.0,1998.0,Gable,VinylSd,TA,PConc,TA,No,GLQ,Ex,Y,926.0,678.0,1604.0,0.0,1.0,Gd,7.0,Typ,1.0,Gd,Fin,2.0,470.0,Y,360.0,0.0,Normal,2010.0,12.19714119849834,198221.6639722352
120,RL,43.0,IR1,HLS,Inside,StoneBr,8.0,5.0,1992.0,Gable,HdBoard,Gd,PConc,Gd,No,ALQ,Ex,Y,1280.0,0.0,1280.0,0.0,0.0,Gd,5.0,Typ,0.0,,RFn,2.0,506.0,Y,0.0,144.0,Normal,2010.0,12.261441832858848,211386.1496188777
60,RL,75.0,IR1,Lvl,Corner,Gilbert,6.0,5.0,1994.0,Gable,HdBoard,TA,PConc,Gd,No,Unf,Gd,Y,763.0,892.0,1655.0,0.0,1.0,TA,7.0,Typ,1.0,TA,Fin,2.0,440.0,Y,157.0,0.0,Normal,2010.0,12.05453702558266,171877.4540796535
20,RL,,IR1,Lvl,Inside,Gilbert,6.0,7.0,2007.0,Gable,HdBoard,TA,PConc,Gd,No,ALQ,Ex,Y,1187.0,0.0,1187.0,1.0,0.0,TA,6.0,Typ,0.0,,Fin,2.0,420.0,Y,483.0,0.0,Normal,2010.0,12.107806787958888,181281.57926332104
60,RL,63.0,IR1,Lvl,Inside,Gilbert,6.0,5.0,1998.0,Gable,VinylSd,TA,PConc,Gd,No,Unf,Gd,Y,789.0,676.0,1465.0,0.0,1.0,TA,7.0,Typ,1.0,Gd,Fin,2.0,393.0,Y,0.0,0.0,Normal,2010.0,12.020990083946353,166207.13387972576
20,RL,85.0,Reg,Lvl,Inside,Gilbert,7.0,5.0,1990.0,Gable,HdBoard,TA,PConc,Gd,Gd,GLQ,Gd,Y,1341.0,0.0,1341.0,1.0,1.0,Gd,5.0,Typ,1.0,Po,Unf,2.0,506.0,Y,192.0,0.0,Normal,2010.0,12.215040540065385,201801.64531514977
20,RL,70.0,Reg,Lvl,Corner,NAmes,4.0,5.0,1970.0,Gable,Plywood,TA,CBlock,TA,No,ALQ,TA,Y,882.0,0.0,882.0,1.0,0.0,TA,4.0,Typ,0.0,,Fin,2.0,525.0,Y,240.0,0.0,Normal,2010.0,11.659173766665631,115748.35575018877
